sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0021507-T01-IM6	0.1476	0.1269	0.1584	0.0861	0.4082	0.4107	-0.3758	-0.0028	-0.277	0.09	0.112	-0.366	0.0782	0.055	0.055	-0.3675	0.1341	0.0724	0.0729	0.52	0.52	-0.2692	-0.1613	-0.2387	-0.262	-0.3563	0.8335	0.1826	-0.3435	0.0902	0.0812	0.0225	-0.0256	-0.3571	0.0897	0.0827	0.0827	-0.9726	-0.0658	0.3092	0.3092
GENIE-MSK-P-0021528-T01-IM6	0.0967	-0.2318	-0.008	-0.0192	0.1529	0.1708	-0.0904	-0.2017	0.1367	0.0032	0.0032	-0.1496	-0.055	-0.0226	-0.0226	-0.2581	0.211	-0.0034	0.1556	-0.2186	0.768	-0.2259	-0.5367	0.2019	-0.2459	0.202	0.2146	-0.0018	-0.0018	0.6576	-0.4786	-0.1657	-0.282	0.3143	0.2093	-0.2774	0.1717	-0.0061	-0.0061	-0.1635	-0.0863
GENIE-MSK-P-0021532-T01-IM6	0.2043	-0.0756	-0.0646	-0.0826	-0.1519	-0.0323	-0.1068	-0.1425	-0.1094	-0.0101	-0.0101	-0.2058	0.0486	0.132	-0.3025	-0.1651	0.1983	0.0495	0.0626	0.1346	0.3253	-0.1381	0.017	0.2521	-0.1386	-0.0925	0.221	0.0407	-0.0528	0.0513	-0.1328	-0.1123	0.0275	0.0528	-0.0903	-0.1593	0.069	-0.4261	0.1005	-0.0876	-0.1525
GENIE-MSK-P-0021621-T01-IM6	-0.1205	-0.1205	0.0253	-0.1061	-0.0087	-0.0044	0.0516	-0.1398	0.0825	0.0604	-0.2346	0.0195	0.0195	-0.0027	-0.0027	0.0385	0.0385	-0.2495	0.1199	0.0302	0.0302	0.036	0.0628	-0.0167	-0.0812	-0.0749	0.124	0.0509	0.0509	-0.0408	0.0147	-0.0787	3e-04	0.0148	0.0302	0.0215	0.0215	-0.0266	0.0573	-0.0839	-0.0839
GENIE-MSK-P-0021622-T01-IM6	0.0271	0.0271	-0.1125	-0.0811	0.0223	-0.0148	0.0234	0.0967	-0.0852	-0.131	-0.131	-0.1706	-0.0458	0.0162	0.0162	-0.1188	-0.1188	0.0684	0.2085	0.1201	0.1201	0.1021	-0.109	-0.0128	-0.0128	0.1969	0.1969	0.0073	0.0073	-0.0687	-0.1327	-0.0533	-0.0332	0.1468	0.1468	0.1306	0.2925	-0.0535	-0.0535	-0.1794	-0.1794
GENIE-MSK-P-0021644-T01-IM6	-0.0041	-0.0041	0.0209	0.0209	-0.0145	-0.0286	0.0131	0.0259	0.0072	-0.0035	-0.0035	-0.0211	-0.0211	0.0553	0.0553	-0.0367	-0.0367	-0.0074	-0.0073	0.0442	0.0442	0.0153	-0.0297	-0.0041	-0.0041	-0.0126	0.0248	0.0372	0.0372	0.0057	0.0057	-0.0311	-0.0338	0.0557	0.0557	0.0219	0.0219	0.0085	0.0085	-0.0365	-0.0365
GENIE-MSK-P-0021651-T01-IM6	-0.4197	-0.4197	0.196	-0.3064	0.2318	0.1971	-0.2517	-0.2805	-0.108	-0.1479	-0.4463	-0.1103	-0.1103	0.4354	0.4354	0.3668	0.0235	-0.3373	0.5661	-0.0331	-0.0331	-0.4551	-0.3583	0.0469	-0.0938	-0.5704	0.5429	-0.4065	-0.096	0.2521	-0.1382	0.1253	0.0555	-0.4001	-0.2633	-0.3349	0.3625	-0.4112	-0.4586	0.0567	0.2368
GENIE-MSK-P-0021756-T01-IM6	-0.3362	-0.3437	-0.3588	-0.4218	0.2146	0.0083	-0.2094	-0.3093	0.0897	0.1473	-0.3842	0.0153	0.0173	-0.0209	-0.0209	0.0811	0.089	-0.0038	0.3587	0.0939	0.0939	0.1262	0.071	0.0405	-0.0169	-0.1567	0.3204	0.0517	0.0517	-0.0145	0.0519	-0.0488	-0.0841	0.0306	0.0306	0.3565	0.3565	-0.4029	0.4737	-0.045	-0.045
GENIE-MSK-P-0021774-T01-IM6	-0.2207	-0.2192	0.0196	-0.0019	0.0249	-0.1198	-0.1568	0.1614	-0.2261	-0.0996	-0.0996	-0.1241	-0.0825	0.0411	0.0411	0.262	0.2474	0.0937	0.0161	0.2299	0.2299	-0.1129	0.328	-0.1769	-0.1951	0.1282	0.1495	-0.316	-0.316	-0.1334	-0.1145	0.2019	-0.1509	0.4566	0.4308	0.217	0.217	-0.1236	-0.3218	-0.0741	-0.0686
GENIE-MSK-P-0021834-T01-IM6	0.1742	0.1352	0.0959	-0.0067	-0.0183	-0.0183	0.1376	-0.0485	0.0124	-0.1505	-0.1505	-0.3425	0.0967	-0.0682	-0.0867	-0.1724	-0.1159	-0.0458	-0.0201	-0.0568	0.3788	-0.0037	-0.0776	0.1	0.1	0.1766	0.1766	-0.0436	-0.0436	0.107	0.107	0.0378	0.0378	0.0341	0.0341	-0.0503	-0.0503	0.2007	0.1132	0.0452	0.0452
